;wine type;fixed acidity;volatile acidity;citric acid;residual sugar;magnesium;flavanoids;minerals;calcium;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
0;Pinot noir;5.8;0.15;0.49;1.1;76.7293009977537;894.94;186.6393009977537;109.91;0.048;21.0;98.0;0.9929;3.19;0.48;9.2;5
1;Merlot;6.6;0.25;0.32;5.6;4.795712181920198;1160.95;251.87571218192022;247.08;0.039;15.0;68.0;0.99163;2.96;0.52;11.1;6
2;Chardonnay;6.7;0.21;0.34;1.5;85.19370974035533;789.82;304.7037097403553;219.51;0.035;45.0;123.0;0.98949;3.24;0.36;12.6;7
3;Merlot;8.3;0.28;0.27;17.5;11.976524697781699;777.86;237.58652469778173;225.61;0.045;48.0;253.0;1.00014;3.02;0.56;9.1;6
4;Merlot;7.5;0.42;0.19;6.9;5.599672729694804;785.72;95.3996727296948;89.8;0.041;62.0;150.0;0.99508;3.23;0.37;10.0;6
5;Merlot;7.3;0.34;0.3;1.3;22.40374917004727;1044.95;289.52374917004727;267.12;0.057;25.0;173.0;0.9948;3.26;0.51;9.1;6
6;Merlot;7.6;0.21;0.49;2.5;23.87586580673078;888.61;133.54586580673077;109.67;0.047;20.0;130.0;0.99178;3.15;0.48;11.1;5
7;Chardonnay;6.0;0.25;0.4;5.7;23.309699139295127;1381.79;266.52969913929513;243.22;0.052;56.0;152.0;0.99398;3.16;0.88;10.5;6
8;Cabernet Sauvignon;6.7;0.18;0.19;4.7;49.16574475950046;1456.41;269.91574475950046;220.75;0.046;57.0;161.0;0.9946;3.32;0.66;10.5;6
9;Gamay;7.7;0.28;0.39;8.9;54.45057929079427;929.44;377.6905792907943;323.24;0.036;8.0;117.0;0.9935;3.06;0.38;12.0;2
10;Chardonnay;8.0;0.16;0.36;1.5;18.668885019026128;637.63;305.3088850190261;286.64;0.033;14.0;122.0;0.9941;3.2;0.39;10.3;4
11;Cabernet Sauvignon;5.2;0.185;0.22;1.0;86.85132026963977;1349.11;332.09132026963977;245.24;0.03;47.0;123.0;0.99218;3.55;0.44;10.15;6
12;Pinot noir;6.6;0.24;0.22;12.3;9.815085852887107;1461.79;262.3350858528871;252.52;0.051;35.0;146.0;0.99676;3.1;0.67;9.4;5
13;Chardonnay;6.6;0.24;0.24;8.6;21.3434595258691;679.88;212.0634595258691;190.72;0.034;25.0;135.0;0.99582;3.33;0.59;10.3;6
14;Chardonnay;7.4;0.19;0.42;6.4;55.951646994372084;1332.81;277.1416469943721;221.19;0.067;39.0;212.0;0.9958;3.3;0.33;9.6;6
15;Cabernet Sauvignon;6.9;0.38;0.29;13.65;31.024137224402516;1019.9;334.3941372244025;303.37;0.048;52.0;189.0;0.99784;3.0;0.6;9.5;6
16;Merlot;7.0;0.24;0.3;6.7;0.9738216566574809;958.36;85.06382165665748;84.09;0.039;37.0;125.0;0.99436;3.2;0.39;9.9;5
17;Merlot;5.2;0.28;0.29;1.1;60.120685623561364;836.21;202.26068562356136;142.14;0.028;18.0;69.0;0.99168;3.24;0.54;10.0;6
18;Cabernet Sauvignon;6.1;0.43;0.35;9.1;62.822046232944075;1046.44;360.6920462329441;297.87;0.059;83.0;249.0;0.9971;3.37;0.5;8.5;5
19;Chardonnay;7.0;0.31;0.35;1.6;93.76082463816289;1335.23;361.7308246381629;267.97;0.063;13.0;119.0;0.99184;3.22;0.5;10.7;5
20;Pinot noir;6.5;0.37;0.3;2.2;0.5304206173433079;610.77;237.27042061734332;236.74;0.033;39.0;107.0;0.98894;3.22;0.53;13.5;7
21;Pinot noir;6.3;0.34;0.19;5.8;67.26325582743075;924.47;173.49325582743074;106.23;0.041;22.0;145.0;0.9943;3.15;0.63;9.9;5
22;Cabernet Sauvignon;5.1;0.52;0.06;2.7;63.55303286862677;435.18;186.38303286862677;122.83;0.052;30.0;79.0;0.9932;3.32;0.43;9.3;5
23;Pinot noir;6.6;0.25;0.3;14.4;38.927621643604816;1467.61;292.3476216436048;253.42;0.052;40.0;183.0;0.998;3.02;0.5;9.1;6
24;Pinot noir;6.5;0.23;0.25;17.3;25.935124613444437;579.53;258.20512461344447;232.27;0.046;15.0;110.0;0.99828;3.15;0.42;9.2;6
25;Pinot noir;7.0;0.15;0.38;2.2;69.12037593850064;808.52;418.7403759385006;349.62;0.047;33.0;96.0;0.9928;3.13;0.39;10.4;8
26;Merlot;7.4;0.2;0.43;7.8;49.75735615567306;785.86;219.38735615567305;169.63;0.045;27.0;153.0;0.9964;3.19;0.55;9.0;7
27;Cabernet Sauvignon;7.2;0.32;0.36;2.0;21.857202504414264;1129.37;244.80720250441425;222.95;0.033;37.0;114.0;0.9906;3.1;0.71;12.3;7
28;Chardonnay;5.9;0.27;0.27;5.0;74.40906332552149;1157.19;341.09906332552146;266.69;0.035;14.0;97.0;0.99058;3.1;0.33;11.8;7
29;Cabernet Sauvignon;7.1;0.26;0.37;5.5;85.80025261730056;551.26;253.75025261730053;167.95;0.025;31.0;105.0;0.99082;3.06;0.33;12.6;8
